first_name,last_name,email,city,state,signup_date
Emma,Clark,emma@example.com,Dallas,TX,2026-05-10
Liam,Walker,liam@example.com,Austin,TX,2026-05-12
Olivia,Hall,olivia@example.com,Chicago,IL,2026-05-15
Noah,Young,noah@example.com,Dallas,TX,2026-05-18
Ava,King,ava@example.com,Seattle,WA,2026-05-20
Ethan,Wright,ethan@example.com,Denver,CO,2026-05-22
Mia,Lopez,mia@example.com,Austin,TX,2026-05-25
Lucas,Hill,lucas@example.com,Fort Worth,TX,2026-05-27
Isabella,Green,isabella@example.com,Chicago,IL,2026-05-29
James,Adams,james@example.com,Dallas,TX,2026-06-01
Sophia,Martinez,sophia@example.com,Dallas,TX,2026-06-05
Daniel,Wilson,daniel@example.com,Houston,TX,2026-06-10
